video_id,title,channel_name,channel_id,published_at,category_id,tags,view_count,like_count,comment_count,duration,region_code,trending_date,extracted_at,duration_minutes,engagement_rate,like_rate,comment_rate,days_to_trend
ENoi24taV2E,Merry Christmas 2026The 50 Most Beautiful Christmas Songs  Top Christmas Music,Jingle Bell Tunes,UC2edV1sW2gCOk-K1vlsKkvQ,2025-12-24 06:04:25+00:00,10,"christmas songs,christmas music,merry christmas,best christmas songs of all time,top christmas songs of all time,top 100 christmas songs,top 100 christmas songs of all time,christmas songs playlist,best christmas songs,christmas playlist,classic christmas songs,christmas songs medley,top christmas songs,noel songs,xmas songs,love to sing,top christmas songs playlist",1321892,4061,260,PT1H27M13S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,87.22,0.3269,0.3072,0.0197,0
_Dfc89TY-aA,Peaky Blinders The Immortal Man  Official Teaser  Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,2025-12-24 14:00:00+00:00,24,"Barry Keoghan,Cillian Murphy,Conspiracy,Netflix,Netflix 2026,Netflix Teasers,New on Netflix,Packy Lee,Peaky Blinders,Rebecca Ferguson,Sophie Rundle,Stephen Graham,Steven Knight,Tense,The Immortal Man,Tim Roth,Tom Harper,drama,film,teaser",2082242,89585,4281,PT1M11S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,1.18,4.5079,4.3023,0.2056,0
g4eFKhKnSbY,FORTNITE SKIN REVEAL!   NOT ENDING UNTIL I WIN,IShowSpeed,UCWsDFcIhY2DBi3GB5uykGXA,2025-12-25 01:51:01+00:00,20,ishowspeed,1554673,69689,1063,PT2H41M11S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,161.18,4.5509,4.4826,0.0684,-1
Z0vLXebvtQE,Christmas Songs PlaylistTop 2 Hours Christmas Songs  Best Christmas Music 2026,Christmas Songs and Carols - Love to Sing,UCn0JHLJWiO3_Y5xfNPcF_Ug,2025-12-24 11:30:39+00:00,10,"top christmas song,christmas songs,top christmas songs of all time,top 100 christmas songs of all time,best christmas songs of all time,best christmas songs,top christmas songs,top 100 christmas songs,classic christmas songs,christmas songs playlist,best christmas music,christmas songs medley,top 100 christmas songs and carols,top 100 christmas songs and carols playlist",525858,1731,207,PT2H38M58S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,158.97,0.3685,0.3292,0.0394,0
BPDuqVOJfLU,Avengers Doomsday  Official Trailer Chris Evans 2026,Entertainment Tonight,UCdtXPiqI2cLorKaPrfpKc4g,2025-12-23 16:54:29+00:00,24,"Avengers: Doomsday,Chris Evans",354397,3577,387,PT1M25S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,1.42,1.1185,1.0093,0.1092,1
vN4Rxiv1Xxc,Christmas Eve ADMIN ABUSE  New Brainrots!,CaylusBlox,UCsPMNatXCwqyUuJilBT73jg,2025-12-25 01:12:52+00:00,20,"caylusblox,caylus roblox,caylus,roblox,Steal a brainrot update,ADMIN ABUSE In Steal a Brainrot!,Steal a Brainrot UPDATE + Admin Abuse,admin abuse,steal a brainrot,caylus admin abuse,tung tung sahur steal a brainrot,santa fuse machine,caylus fuse machine,caylus steak,caylus steal a brainrot christmas,caylus stream,radioactive base,north pole,steal a brainrot north pole,caylus steal a brainrot,christmas eve admin abuse,christmas steal a brainrot",1076356,22499,470,PT1H32M57S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,92.95,2.134,2.0903,0.0437,-1
GI4_G3V458Q,Las 50 Mejores Villancicos Navideños  Música Navideña Clásica  Feliz Navidad 2025,Christmas Music Fireplace,UC29QZcKH_z9oYyNlAeXhSxQ,2025-12-24 01:27:58+00:00,10,"villancicos navideños,villancicos de navidad,musica de navidad,musica navideña,canciones de navidad,canciones navideñas,villancicos clasicos,musica navideña clasica,feliz navidad,navidad en español,villancicos tradicionales,exitos navideños,playlist navidad,musica para navidad,canciones de navidad en español,villancicos populares,musica de navidad clasica,navidad canciones,nochebuena musica,musica para nochebuena,musica navideña 2025,villancicos 2025",1651798,4433,143,PT2H7M36S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,127.6,0.277,0.2684,0.0087,0
Mzw2ttJD2qQ,The Odyssey  Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,2025-12-22 14:00:04+00:00,24,,21294943,439487,23119,PT1M54S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,1.9,2.1724,2.0638,0.1086,2
Bx2ejavSVSw,Minecraft Speedrunner VS 3 Hunters REVIVAL,Dream,UCTkXRDQl0luXxVQrRQvWS6w,2025-12-24 08:40:10+00:00,20,"minecraft,dream,dream minecraft",3074326,173639,11245,PT51M20S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,51.33,6.0138,5.648,0.3658,0
jESFwEelFtI,Feliz Navidad Villancico  Los 50 Mejores Villancicos Navideños  MÚSICA DE FELIZ NAVIDAD 2026,Feliz Navidad Melodías,UCod0QKeFcbP2y3jGJXSyYYQ,2025-12-24 13:01:38+00:00,22,"Feliz Navidad,Feliz Navidad Villancico,Navidad Villancico,Los 50 Mejores Villancicos Navideños,Villancicos Navideños,MÚSICA DE FELIZ NAVIDAD,MÚSICA DE FELIZ NAVIDAD 2026,NAVIDAD,navidad,navidad canciones,villancicos,cancion de navidad,canciones navideñas,canciones de navidad,feliz navidad,musica navideña,mi burrito sabanero,musica navidad,villancicos navideños,villancicos de navidad,rodolfo el reno feliz navidad,feliz navidad villancico",243378,732,50,PT1H9M20S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,69.33,0.3213,0.3008,0.0205,0
mMJir3PWF3U,Avengers Doomsday - Thor odinson Will Return Trailer  Chris Hemsworth Concept Version,Teaser Universe,UCa2MXjBtWn91WPHWRBCLI6Q,2025-12-23 14:46:53+00:00,1,"avengers doomsday trailer,doomsday thor teaser,doomsday thor trailer,doomsday thor,doomsday thor scene,avengers doomsday thor first look,doomsday trailer,doomsday trailer steve rogers,doomsday trailer breakdown,tobey maguire doomsday trailer",1491397,28297,721,PT1M20S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,1.33,1.9457,1.8973,0.0483,1
0kY-OncKWXA,STEAL A BRAINROT GIVEAWAY LIVE  STEAL A BRAINROT FREE SECRETS  FREE BRAINROT GODS,Joxy,UC3DlDcaefUYr-1skxaiLxVw,2025-12-24 00:23:46+00:00,20,"steal a brainrot giveaway,steal a brainrot giveaway live,steal a brainrot secret giveaway,steal a brainrot live giveaway,steal a brainrot brainrot god giveaway,steal a brainrot stream,steal a brainrot live,steal a brainrot 24/7 stream,steal a brainrot,steal a brainrot god,w steal a brainrot,steal a brainrot game,steal a brainrot gifting,steal a brainrot mod,steal a brainrot glitch,steal a brainrot 24/7,roblox steal a brainrot,steal a brainrot roblox",1078701,16705,45,PT12S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,0.2,1.5528,1.5486,0.0042,0
Pi1Z54bqBoc,Super Lamas - Popurrí Navideño En Vivo,Super Lamas,UCRqimb8Obb3jtWZaf1q3QSQ,2025-12-18 00:00:35+00:00,10,"SG,Music,Inc,super lamas,cumbia,veracruz,yo quiero chupar,quiero chupar",347095,2299,45,PT4M4S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,4.07,0.6753,0.6624,0.013,6
6q0ri0njW-I,"Popeye The Sailor Man 2026 - Jason Statham, Hailee Steinfeld  Live Action Concept Trailer 4k",Ultimate Studios,UCc3qOMA8TN5b3PPRlGAFA0Q,2025-12-23 16:00:12+00:00,24,"Popeye The Sailor Man,Popeye The Sailor Man (2026),Jason Statham,Jason Momoa,hailee steinfeld,popeye live action,popeye movie 2026,popeye,popeye cartoon,popeye the sailor man movie,popeye the sailor man teaser,i'm popeye the sailor man,popeye 2026,#popeyeliveaction,popeye and olive oyl,jason statham popeye movie,olive oyle,popeye wimpy,popeye sailor man",71879,214,50,PT1M28S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,1.47,0.3673,0.2977,0.0696,1
CaTr9k9nb5E,I Ran for King on the Unstable SMP,Parrot,UCPLMPHT-d8GZOqL_AHJFdQQ,2025-12-24 08:14:37+00:00,20,"Minecraft,Minecraft SMP,SMP,Minecraft Server,LifeSteal SMP,School Minecraft Server,School SMP,School Parrot,Parrot,ParrotX2,Dream SMP,TommyInnit,LifeSteal,parrot lifesteal smp,Spoke,minecraft survival,minecraft hardcore,minecraft challenge,minecraft server,HermitCraft,MumboJumbo,Grian,why i broke 100+ bedrock,Here's Why I Made 12240 Minecraft Cakes,Minecraft Hunt,LifeSteal Season 3,1 Heart Minecraft,LifeSteal Season 4,Why I Removed the World",2020117,116150,17969,PT1H3M17S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,63.28,6.6392,5.7497,0.8895,0
oaJKUCgSSkc,Sabrina Carpenter - Such A Funny Way Official Lyric Video,SabrinaCarpenterVEVO,UC4mYKePIas5YgGfYZ2J2OxQ,2025-12-24 17:01:25+00:00,10,"Sabrina Carpenter,Island Records,Pop",408721,62052,4862,PT3M53S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,3.88,16.3716,15.182,1.1896,0
c0CqYQJU3nU,Stranger Things 5  Volume 2 Sacrifice New Trailer  Netflix,MovieTrailers Entertainment,UCO2EFMFF07y9BikFGKGIlkw,2025-12-24 14:01:11+00:00,24,"Stranger things,Stranger things 5,Stranger things 5 trailer,Stranger things 5 final trailer,Stranger things vol 2 trailer,Sadie sink,Stranger things 5 scene,Stranger things 5 soundtrack,Stranger things 5 ending,Stranger things 5 Vecna scene,Stranger things 5 max scene,Stranger things 5 will powers,Stranger things season 5,Stranger things theories,Sadie sink spider man brand new day,Stranger things 5 trailer music,Stranger Things Vol 2 final trailer",200399,4463,286,PT1M2S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,1.03,2.3698,2.2271,0.1427,0
frVUUvHnmrM,shorts CHRISTMAS EVE ADMIN ABUSE,KreekCraft,UCxsk7hqE_CwZWGEJEkGanbA,2025-12-25 00:49:57+00:00,20,,2334741,25501,82,PT5H20M2S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,320.03,1.0958,1.0922,0.0035,-1
NVLgkXylEuQ,"El Bogueto  Anuel AA  Yung Beef  Fuerza Regida - Cuando No Era Cantante Remix , Official video",El Bogueto,UC-6lK20fJE_YVW_nshsDwaA,2025-12-24 03:00:08+00:00,10,"El Bogueto,Anuel AA,Fuerza regida,Yung beef,Jesús Ortiz,JOP,Anuel,Bogueto,El Boo,Rhlm,STREET moob,El Malilla,Bellakath,Yerimua,Reggaeton mexa,Cuando no era cantante,Remix,Rosalía,Cazzu,Grupo firme,Shakira,Víctor Mendivil,Cachirula,Cali uchis,Hanzel la h,Hades 66,Belinda,Bryan myers,Junior h,Aria bela,Arcángel,Uzielito mix,Yailin",1344828,91586,5349,PT5M58S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,5.97,7.208,6.8102,0.3977,0
IkRxorllFs0,You Cant Be Serious...,Steve Reviews,UCqERpXggAprNW8QT_WO1N5Q,2025-12-24 18:48:22+00:00,1,"steve reviews,animal farm,animal farm trailer,reaction,animal farm 2025",127516,8181,1182,PT5M54S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,5.9,7.3426,6.4157,0.9269,0
HKLV9ostj-Q,CHRISTMAS EVE,steak,UC7c8wbA9yQjzxkj2uyrHrkg,2025-12-25 01:00:54+00:00,20,,547329,20041,190,PT1H29M31S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,89.52,3.6963,3.6616,0.0347,-1
ta4KAXDxsx0,Wham! - Last Christmas Japanese Lyrics,WhamVEVO,UCm1QnxCbcLB8fQwoTDk39iQ,2025-12-18 10:07:11+00:00,10,"Empowered,Festive,Happy,Last Christmas,Nostalgic,Pop,Single,Throwback,Wham!",1695580,6056,264,PT4M39S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,4.65,0.3727,0.3572,0.0156,6
pVPOa6_EfiA,Avengers Doomsday Teaser Trailer 2026,Rotten Tomatoes Trailers,UCi8e0iOVk1fEOogdfu4YgfA,2025-12-23 14:10:35+00:00,1,"avengers doomsday,avengers 5,robert downey jr,avengers 5: doomsday,tenoch huerta,Chris Hemsworth,Anthony Mackie,Vanessa Kirby,Paul Rudd,and Florence Pugh,Tenoch Huerta,Simu Liu,Sebastian Stan,Letitia Wright,Ebon Moss-Bachrach,Lewis Pullman,Joseph Quinn,David Harbour,Winston Duke,Tom Hiddleton,Ian McKellen,Alan Cumming,Rebecca Romijn,James Marsden,Pedro Pascal,Robert Downey Jr.,avengers doomsday teaser,avengers doomsday trailer",409334,6995,1181,PT1M31S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,1.52,1.9974,1.7089,0.2885,1
eautIUQehPo,POTATO,Flamingo,UCm-X6o81nRsXQTmqpyArkBQ,2025-12-24 20:02:40+00:00,20,"Family,friendly",394833,28610,4148,PT15M30S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,15.5,8.2967,7.2461,1.0506,0
tUgmAe8cKJs,We Wish You A Merry Christmas  André Rieu,André Rieu,UCAaX9NjMCos_Qwz3n41eUgg,2025-12-20 14:30:59+00:00,10,"André Rieu (Violinist),andre rieu,andré rieu in concert,André Rieu (Musical Artist),Classical Music (Musical Genre),Johann Strauss Orchestra (Musical Group),Violin,Violinist,Orchestra,we wish you a merry christmas,christmas with andre,emma kok,christmas songs,merry christmas,andré rieu christmas,andré rieu christmas concert,andré rieu emma kok,mecc maastricht,Christmas in Maastricht,Christmas carol,carol",339603,4267,285,PT2M17S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,2.28,1.3404,1.2565,0.0839,4
tsdKBWlpgbs,AVENGERS DOOMSDAY TEASER 3 HAS LEAKED!,Everything Always,UCBS7ypf4ccm6e_bu35EiAAA,2025-12-24 16:26:00+00:00,1,"marvel,marvel studios,mcu,phase 5,spider-man,spiderman,x-men,xmen,freshman year,tom holland,avengers,fantastic four,wolverine,release,official,announcement,teaser,trailer,new,footage,2nd,trailer 2,sony,sony pictures entertainment,marvel entertainment,disney plus,disney,disney+,disney plus day,cosmic wonder,emergency awesome,new rockstars,heavy spoilers,d23,SDCC,deadpool,slate,phase 7",68599,2550,435,PT8M30S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,8.5,4.3514,3.7173,0.6341,0
t7tKhyjea1w,Delivering Packages Over Night,CaseOh,UC63anZxfVGHUEmfBAf5w7pw,2025-12-24 23:03:33+00:00,20,"gaming,caseoh,caseohgames,case,funny,streamer,horror,horror gaming,scary,jumpscare",113357,5787,568,PT1H59M46S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,119.77,5.6062,5.1051,0.5011,0
aExnNHnMBu0,MOTOWN 2026 SOULFUL CHRISTMAS Soulful Christmas Best RB Holiday Songs of All Time Uncut,RADIO CLASSIC,UC4FeidqlllXEMtIv0J8gbUA,2025-12-21 13:30:01+00:00,10,,68247,580,4,PT1H16M11S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,76.18,0.8557,0.8499,0.0059,3
P14R8MLqYzQ,THE ODYSSEY TRAILER BREAKDOWN! Christopher Nolan 2026 Movie Explained!,New Rockstars,UC7yRILFFJ2QZCykymr8LPwA,2025-12-23 22:46:50+00:00,24,"new rockstars,new rockstars youtube,youtube new rockstars,odyssey,odyssey trailer,odyssey official trailer,odyssey trailer breakdown,odyssey trailer new rockstars,odyssey trailer reaction,christopher nolan,matt damon,tom holland,robert pattinson",192166,6857,392,PT13M1S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,13.02,3.7723,3.5683,0.204,1
NJMOvGqSfy4,LIVE Santa tracker 2025,Associated Press,UC52X5wxOL_s5yw0dQk7NtgA,2025-12-24 18:22:25+00:00,25,"associated press,ap news,news,news live,latest news,live news",478689,2092,449,PT6H46M57S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,406.95,0.5308,0.437,0.0938,0
5J92iHglH5o,Vicente Fernández - Y Me Acordé de Ti Letra  Lyrics,vicentefernandezVEVO,UCK586Wo8pKz0C50xlSZqSDA,2025-12-20 00:00:05+00:00,10,"latin,latin music,musica en español,mexico,video,video oficial,video con letra,lyric,lyrics video,video letra,letra de la canción,vicente fernández,mariachi,chente,banda,me acorde de ti,Emotional,Expressive,Heartfelt,Karaoke,Melancholy,Nostalgic,Rancheras,Reflective,Retro,Sentimental,Throwback,Me Acordé de Ti",118184,977,30,PT3M28S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,3.47,0.8521,0.8267,0.0254,4
Pq_b4rUZmAs,AVENGERS DOOMSDAY TRAILER 2026 Steve Rogers Breakdown  Things You Missed!,Emergency Awesome,UCDiFRMQWpcp8_KD4vwIVicw,2025-12-23 18:31:37+00:00,24,,243199,6650,916,PT15M47S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,15.78,3.111,2.7344,0.3766,1
XGpLSKtueHs,R6 CLIPS IS BACK,Jynxzi,UCjiXtODGCCulmhwypZAWSag,2025-12-25 01:02:08+00:00,20,"Jynxzi,JynxziR6,JynxziLive,Jynxzi Stream,R6 CLIPS IS BACK,jynxzi r6 clips",145879,8519,611,PT44M12S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,44.2,6.2586,5.8398,0.4188,-1
h2fgccRKzr8,Luis Miguel - Blanca Navidad Lyric Video,Warner Music México,UCP1b9jYyEqiNhJi4GqYdovw,2025-12-18 19:00:49+00:00,10,"warner music,warner music mexico,warner close up,all access,fan call,video oficial,Pop en español,Luis Miguel,navidad Luis Miguel,musica navideña,canciones navideñas,Luis Miguel navidad,Luismi navidad,Playlist navideña,música para posadas,Luis Miguel lyrics,Luis Miguel Blanca Navidad,Blanca Navidad Lyrics",316262,1013,43,PT3M33S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,3.55,0.3339,0.3203,0.0136,6
CK8Xlk2K_ZU,AVENGERS DOOMSDAY TRAILER 3 X-MEN UNIVERSE!,The Cosmic Wonder,UClG1AcuVOU5Cn-ivHm3JRoA,2025-12-24 21:37:01+00:00,1,"cosmic wonder,marvel,mcu,marvel phase 4,marvel phase 5,marvel leaks,avengers doomsday trailer 3,avengers doomsday xmen trailer leak,avengers doomsday x men teaser trailer,avengers doomsday trailer 3 x-men,Avengers Doomsday,Doctor Doom,RDJ Doctor Doom,Avengers Doomsday Trailer,Avengers Doomsday Leak,Avengers 5,Marvel News,Avengers Secret Wars,Secret Wars Leaks,Tobey Maguire Spider-Man,Marvel Studios,Marvel 2026,Dr Doom Teaser,avengers doomsday trailer",40781,1372,179,PT9M33S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,9.55,3.8032,3.3643,0.4389,0
i1sZXP4eIlE,DEEP FRIED IN ROBLOX,Tyler  Snowi,UCzzF1kdBgwv5RB6rbB6kVSA,2025-12-24 22:42:00+00:00,20,"roblox,funny moments,tyler and snowi,tyler,snowi,tyler & snowi,roblox funny moments,roblox funny games,roblox funny videos,roblox simulator games,roblox simulator,roblox games to play when your bored,roblox games to play with friends,roblox simulator games 2025,smartys cooking roleplay,roblox smartys cooking roleplay,smartys cooking roleplay roblox,roblox mukbang,mukbang roblox,mukbang roblox food,roblox food,roblox food games,roblox food mukbang,mukbang",221088,6495,384,PT18M56S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,18.93,3.1114,2.9377,0.1737,0
Ub4RD4hzQ5U,Los Dos Carnales - Querido Santa Claus,Los Dos Carnales,UCHU1sgg0A354C5-jtunzHPQ,2025-12-24 20:21:24+00:00,10,"LosDosCarnales,AfinArteMusic,Norteña,RegionalMexicano,VidaVentajosa,ElCorridoDelFantasma",73518,1996,62,PT3M12S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,3.2,2.7993,2.715,0.0843,0
1NQPKkqA-fQ,AVENGERS DOOMSDAY Official Trailer 2026 Teaser,MovieGasmcom,UCwBV-eg1dAkzrdjqJfyEj0w,2025-12-23 15:27:53+00:00,1,"trailer,movies,2026,movie,trailers,AVENGERS: DOOMSDAY,avengers doomsday trailer,official,dr doom,iron man,robert downy jr,AVENGERS: DOOMSDAY Official Trailer (2026) Teaser,avengers doomsday official trailer,Avengers Doomsday Trailer,captain america,avengers,Avengers Doomsday (Movie),fight,scene,movie clip,4k",154899,1495,207,PT1M32S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,1.53,1.0988,0.9651,0.1336,1
_WxqcsJr5WY,Slots We Cant Wait to Play Again,Vegas Matt,UCbCQBD9gKSEnNtIqmKY1R3Q,2025-12-24 19:45:05+00:00,24,"Las Vegas,Vegas,gamble,handpay,slot machine,winning,losing,slots,gambling,slot,vegas matt,casino,vegasmatt,vegas matt slots,jackpot,slot machine handpay,casinos,baccarat,blackjack,roulette,get even or even worse,sando",185953,8850,1297,PT59M37S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,59.62,5.4568,4.7593,0.6975,0
7iIlwYWMo7k,"Gene Autry  Rudolph, The Red-Nosed Reindeer The Original Gene Autry Sings Rudolph",Gene Autry,UC6i-9Tc0DNmkJ1aLaxXSJNA,2025-12-20 09:42:23+00:00,24,,81929,311,12,PT2M59S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,2.98,0.3942,0.3796,0.0146,4
JrcPqlLQtkM,AVENGERS DOOMSDAY 2026  Dr Doom Teaser  Marvel Comics,TeaserCon,UCdIGJ48YH98rTt37mx-UsNQ,2025-12-23 13:00:12+00:00,1,"avengers doomsday trailer,avengers doomsday official trailer,avengers doomsday,avengers doomsday movie,avengers 2026,robert downey jr doctor doom,doctor doom mcu,marvel cinematic universe,mcu phase 5,avengers doomsday cast,avengers doctor doom,doctor doom movie,robert downey jr mcu,marvel studios,avengers doomsday marvel trailer,avengers doomsday teaser,marvel,comics,marvel phase 6,doomsday trailer,dr doom trailer,avengers doomsday trailer official",401823,2150,83,PT1M13S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,1.22,0.5557,0.5351,0.0207,1
3uTIr0Kan-k,The Wheel of MUT Christmas Special! Ep. 31,MMG,UCaYxyR9mzVlTrOOyZD0XAmA,2025-12-25 02:30:06+00:00,17,mmg,85825,6281,585,PT29M13S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,29.22,8.0,7.3184,0.6816,-1
IRu55EVfUO4,K-Paz De La Sierra - La Vecinita Visualizer,KPazDeLaSierraVEVO,UCAvjWIAJdUM1F5PXL4-6Kxg,2025-12-18 05:00:20+00:00,10,"K-Paz De La Sierra,FONO,Latin Regional Mexican",130467,607,7,PT2M42S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,2.7,0.4706,0.4653,0.0054,6
MYgBuisr_D4,Landman S02 E07 Trailer  Forever Is An Instant,Rotten Tomatoes TV,UCz1GPotHecuLngiLuY739QQ,2025-12-23 20:30:04+00:00,1,"Landman,Landman Trailer,Landman Season 2 Episode 7 Trailer,Landman S02 E07 Trailer,Landman Season 2 Episode 7 TV Trailer,Landman Season 2 Episode 7 Official Trailer,Trailer,TV Trailer,Landman Trailer Forever Is an Instant,Landman Season 2 Paramount+,Paramount+,RT,RTTV,Rotten Tomatoes TV,Drama,Entertainment,TV Series,Billy Bob Thornton,Demi Moore,Andy Garcia,Sam Elliott,Ali Larter,Jacob Lofland,Michelle Randolph,Paulina Chávez,Kayla Wallace,Mark Collie",83149,45,8,PT40S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,0.67,0.0637,0.0541,0.0096,1
3tnGkA-cST8,I Built a SECRET ROOM in My School,Cash,UC0eLBYhxW9HC0P9PXQ73mpQ,2025-12-24 15:00:08+00:00,24,"Cash,Nico,Nico and Cash,Cash and Nico,Minecraft,Minecraft mod,family friendly,kid friendly,I Built a SECRET ROOM in My School…",320492,4151,888,PT20M58S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,20.97,1.5723,1.2952,0.2771,0
cN0X4wrhQaY,BEBESHITO - EP Satisfecho Parte 4 - El ESQUELETO  Prod. by Mauro El Código Secreto Repaton,Planet Records Cuba  Miami,UCIT-fIKaLRdHHd0bcr4jduA,2025-12-19 18:30:06+00:00,10,"El Esqueleto,Bebeshito,Satisfecho EP,Una Locura Mi Amor,Primera Cita,Hoy Se Bebe,Bionica,Ja Rulay,Hasta Mañana,El Dany MG,Mauro El Codigo Secreto,Difunta,Charly & Johayron,Roberto Ferrante,Me Está Gustando Lo Que Veo,Dj Adoni,Habla Toro,6ix9ine,Lenier,Carne,No Creo,Estadio,Rikisisisimo,Tacto Que Llegó El Reparto,Reparto,Bebeshito Reparto,El Punto,El Taiger,Marca Mandarina,Repaton,Reggaeton,Cubaton,Planet Records,Planet Distribution,Cuba,Tendencia,2025",291700,3143,72,PT2M27S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,2.45,1.1022,1.0775,0.0247,5
zfdy4U9NQ98,THE BEST UPCOMING MOVIES 2026 Trailers,KinoCheck.com,UCLRlryMfL8ffxzrtqv0_k_w,2025-12-24 17:13:24+00:00,24,"2025,28 Years Later: The Bone Temple,Digger,Disclosure Day,GOAT,Greenland 2: Migration,Hoppers,KinoCheck,Mercy,Moana,Mortal Kombat 2,Primate,Project Hail Mary,Scream 7,Send Help,Shelter,Spider-Man 4: Brand New Day,Street Fighter,Supergirl,The Best Upcoming Movies 2026,The Bride!,The Hunger Games: Sunrise on the Reaping,The Mandalorian & Grogu,The Odyssey,The Rip,The Sheep Detectives,The Super Mario Galaxy Movie,Wuthering Heights,Young Washington,trailer",50832,495,45,PT1H30M37S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,90.62,1.0623,0.9738,0.0885,0
V9FK31_AB60,We Finally Prank Arasha Back,Smosh Games,UCJ2ZDzMRgSrxmwphstrm8Ww,2025-12-24 18:00:44+00:00,20,"smosh,smosh games,gaming,comedy,funny",240044,17738,1253,PT46M6S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,46.1,7.9115,7.3895,0.522,0
fbTODovGRKU,"Boney M. - Marys Boy Child  Oh My Lord Christmas Snowtime Special, 22.12.1979",BoneyMVEVO,UCHFPpw9jReIhssGTUNUZBoA,2025-12-17 09:01:07+00:00,10,"Boney M.,Mary's Boy Child,Oh My Lord,Christmas Snowtime Special,1979,BBC,Dance,Christmas,Disco",1564428,17201,846,PT5M46S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,5.77,1.1536,1.0995,0.0541,7
g-BjZiTJaSs,SUPER SPACE SHERIFF GAVAN INFINITYSUPER Official Trailer 2,TOEI TOKUSATSU WORLD OFFICIAL,UC7pddu3yyzkzFEiXfQLex3w,2025-12-25 00:30:47+00:00,24,"toei tokusatsu world official,toei,kamen rider,super sentai,power rangers,tokusatsu",28436,3760,390,PT1M9S,US,2025-12-25 00:00:00+00:00,2025-12-25 11:06:31,1.15,14.5942,13.2227,1.3715,-1
